TYPE,ADULT_JUVENILE,YEAR,DATETIME,CCN,AGE,OFFENSE_DISTRICT,OFFENSE_PSA,OFFENSE_BLOCKX,OFFENSE_BLOCKY,DEFENDANT_PSA,DEFENDANT_DISTRICT,RACE,ETHNICITY,SEX,CATEGORY,DESCRIPTION,ADDRESS,ARREST_BLOCKX,ARREST_BLOCKY,GIS_ID,CREATOR,CREATED,EDITOR,EDITED,OBJECTID,GLOBALID
Possession,Adult,2014,2014/06/27 19:00:00+00,b'\xa7\xc6B\xd9\x1b\xab\xdf',21,3D,304,397200,139600,304,3D,B ,N ,M,Narcotics,Ucsa Possession Marijuana,2700 BLOCK OF 14TH ST NW,397200,139600,MARIJUANA_ARRESTS_8018,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,20498,{B383E4BB-C037-462D-BC98-1B7DB92A36B3}
Possession,Adult,2014,2014/06/27 19:34:00+00,b'+\xa9\x9b\x9b\xbaHQ',19,1D,102,398100,136300,Out of State,Out of State,B ,N ,M,Narcotics,Ucsa Possession Marijuana,700 BLOCK OF PENNSYLVANIA AVE NW,398100,136300,MARIJUANA_ARRESTS_8019,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,20499,{B59684E8-3F54-4275-BFE8-2B4C8BBC7642}
Possession,Adult,2014,2014/06/27 20:00:00+00,b'\xca\xcc\x02ej\xc2}',42,7D,707,399600,130300,705,7D,B ,N ,M,Narcotics,Ucsa Possession Marijuana,200 BLOCK OF TRENTON PL SE,399600,130300,MARIJUANA_ARRESTS_8020,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,20500,{413D9E2C-ADDF-4F42-97D9-835B90ED05B2}
Distribution,Adult,2014,2014/06/27 21:13:00+00,b'\xf8\xa3\xc6}I\xc2N',50,7D,704,402300,131500,507,1D,B ,N ,M,Narcotics,Ucsa Distributing Marijuana,2300 BLOCK OF ALABAMA AVE SE,402300,131500,MARIJUANA_ARRESTS_8021,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,20501,{79BF0BCE-D43A-49E6-AFA5-DB14F48C2AA5}
Distribution,Adult,2014,2014/06/27 21:33:00+00,b'\xf8\xa3\xc6}I\xc2N',50,7D,704,402300,131500,507,1D,B ,N ,M,Narcotics,Ucsa Distributing Marijuana,2200 BLOCK OF ALABAMA AVE SE,402200,131500,MARIJUANA_ARRESTS_8022,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,20502,{5821AEFD-6655-40C9-8BE8-66C14FD83047}
Possession,Adult,2014,2014/06/27 22:00:00+00,b'J\x94\xa6\x04\x9c\x82\x8a',39,7D,703,400600,132400,702,7D,B ,U ,M,Narcotics,Ucsa Possession Marijuana,2500 BLOCK OF SHERIDAN RD SE,400600,132400,MARIJUANA_ARRESTS_8023,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,20503,{9C1DD341-4850-4F10-9947-BAE6A880B121}
Possession,Adult,2014,2014/06/27 23:00:00+00,b'J\x94\xa6\x04\x9c\x82\x8a',27,7D,703,400600,132400,Out of State,Out of State,B ,N ,M,Narcotics,Ucsa Possession Marijuana,2500 BLOCK OF SHERIDAN RD SE,400600,132400,MARIJUANA_ARRESTS_8024,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,20504,{57DC6E6A-E061-4308-80C3-100EF5C7136B}
Possession,Adult,2014,2014/06/27 23:00:00+00,b'J\x94\xa6\x04\x9c\x82\x8a',36,7D,703,400600,132400,Out of State,Out of State,B ,N ,M,Narcotics,Ucsa Possession Marijuana,2500 BLOCK OF SHERIDAN RD SE,400600,132400,MARIJUANA_ARRESTS_8025,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,20505,{1448F8DD-9F1C-4EF8-8BA5-6FFF8D986648}
Possession,Adult,2014,2014/06/28 00:30:00+00,b'q\x03\xdef\xbd!:',39,3D,307,397900,138000,105,1D,B ,N ,M,Narcotics,Ucsa Possession Marijuana,1500 BLOCK OF 9TH ST NW,397900,138000,MARIJUANA_ARRESTS_8026,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,20506,{4BF55AF5-26B1-49B9-A509-4295237C86E3}
Possession with intent to distribute,Adult,2014,2014/06/28 03:00:00+00,b'%0\xb3t\x01(\xca',42,5D,507,402500,136800,503,5D,B ,N ,M,Narcotics,Ucsa Pwid Marijuana,2500 BLOCK OF BENNING RD NE,402500,136800,MARIJUANA_ARRESTS_8027,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,20507,{ED90379D-E717-4ABB-BEB8-298D5003CA17}
Possession,Adult,2014,2014/06/28 03:20:00+00,b'\xfc\xa8\x04d\xf7\xf3z',30,3D,303,396300,139200,503,5D,B ,N ,M,Narcotics,Ucsa Possession Marijuana,2400 BLOCK OF 18TH ST NW,396300,139200,MARIJUANA_ARRESTS_8028,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,20508,{D52C597B-7E54-4A7A-A239-18FEF33B0DAB}
Possession,Adult,2014,2014/06/28 03:30:00+00,b'\x8fc\xfa[\x93\x13\x1e',43,3D,303,396300,139400,403,4D,B ,N ,M,Narcotics,Ucsa Possession Marijuana,BELMONT RD NW / COLUMBIA RD NW,396200,139200,MARIJUANA_ARRESTS_8029,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,20509,{2FFFDE17-BA1F-41D5-B6B2-81FDED91C466}
Possession,Adult,2014,2014/06/28 05:39:00+00,b'\x9a\x96X\xe9\x82\xa7F',50,7D,706,400300,129400,502,5D,B ,N ,F,Narcotics,Ucsa Possession Marijuana,700 BLOCK OF YUMA ST SE,400300,129400,MARIJUANA_ARRESTS_8030,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,20510,{FA003FEA-1A5C-48AB-B5DB-813B504DC281}
Possession,Adult,2014,2014/06/28 15:30:00+00,b'W\xbf\xad\x19\x8f\xa1o',24,2D,202,392800,142900,605,6D,U,N ,U,Narcotics,Ucsa Possession Marijuana,4900 BLOCK OF 43RD ST NW,392800,142900,MARIJUANA_ARRESTS_8031,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,20511,{B5BF96B5-A462-42F8-818B-84B9B585E2E7}
Possession,Adult,2014,2014/06/28 19:31:00+00,"b'4\x9a\xc6;;\xb0\xa8'",55,7D,703,400300,132400,602,6D,B ,N ,M,Narcotics,Ucsa Possession Marijuana,2600 BLOCK OF WADE RD SE,400300,132400,MARIJUANA_ARRESTS_8032,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,20512,{4F28346F-BC1E-4B5A-B964-79531A9BD81D}
Distribution,Adult,2014,2014/06/28 19:31:00+00,"b'4\x9a\xc6;;\xb0\xa8'",55,7D,703,400300,132400,703,7D,B ,N ,M,Narcotics,Ucsa Distributing Marijuana,2600 BLOCK OF WADE RD SE,400300,132400,MARIJUANA_ARRESTS_8033,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,20513,{D504380C-0697-41E5-96C0-7889A84FFF37}
Possession,Adult,2014,2014/06/28 20:15:00+00,b'\xdc\x9c\xc9\x915\x9f\x91',22,6D,604,406500,135400,604,6D,B ,N ,M,Narcotics,Ucsa Possession Marijuana,5300 BLOCK OF ASTOR PL SE,406500,135400,MARIJUANA_ARRESTS_8034,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,20514,{DD001479-0905-4DA9-A8D0-F738F0F10FF6}
Possession,Adult,2014,2014/06/28 20:40:00+00,b'H\xa2\xc7d}\xcf\xd8',22,7D,703,400100,132400,703,7D,B ,U ,M,Narcotics,Ucsa Possession Marijuana,1300 BLOCK OF STEVENS RD SE,400100,132400,MARIJUANA_ARRESTS_8035,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,20515,{EACFDF71-9CEC-4697-B712-5E357478533C}
Possession with intent to distribute,Adult,2014,2014/06/28 20:44:00+00,b'\xf9M\xa0\x12\xd1\xd9\x8c',30,6D,602,406200,136500,602,6D,B ,N ,F,Narcotics,Ucsa Pwid Marijuana,500 BLOCK OF 50TH STREET  NE,406200,136500,MARIJUANA_ARRESTS_8036,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,20516,{CD6559E3-1213-4E17-8A09-8361FBCCAF2E}
Possession with intent to distribute,Adult,2014,2014/06/28 20:44:00+00,b'\xf9M\xa0\x12\xd1\xd9\x8c',33,6D,602,406200,136500,,,B ,N ,M,Narcotics,Ucsa Pwid Marijuana,500 BLOCK OF 50TH STREET  NE,406200,136500,MARIJUANA_ARRESTS_8037,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,20517,{C1C5971F-817F-4120-94F3-C00F1FCEC84B}
Possession,Adult,2014,2014/06/28 21:45:00+00,b'\xa7\xc8\x04Xs\xb4\xe8',41,6D,604,406100,135300,602,6D,B ,N ,M,Narcotics,Ucsa Possession Marijuana,5000 BLOCK OF BASS PL SE,406100,135300,MARIJUANA_ARRESTS_8038,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,20518,{F6D91DF7-4125-4120-AE5E-3328A00C95EB}
Possession,Adult,2014,2014/06/29 00:40:00+00,b'\xfc\xd4B_\xd6\xd2\xf0',36,7D,701,401200,132400,703,7D,B ,N ,M,Narcotics,Ucsa Possession Marijuana,2300 BLOCK OF PITTS PL SE,401200,132400,MARIJUANA_ARRESTS_8039,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,20519,{85B94877-050A-4FA3-AA57-D38D6B943540}
Possession,Adult,2014,2014/06/29 00:45:00+00,b'\xa3\xe0e\x07\xd8\\t',51,5D,502,400000,139300,704,7D,B ,N ,M,Narcotics,Ucsa Possession Marijuana,500 BLOCK OF RHODE ISLAND AVE NE,400000,139300,MARIJUANA_ARRESTS_8040,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,20520,{6559AE1A-D78A-4C6D-8EB8-5119D7616E99}
Possession,Adult,2014,2014/06/29 01:25:00+00,b'\x1e~\xce[j\xcd\xc3',29,7D,706,400000,129100,703,7D,B ,N ,M,Narcotics,Ucsa Possession Marijuana,400 BLOCK OF CHESAPEAKE ST SE,400000,129100,MARIJUANA_ARRESTS_8041,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,20521,{FB0DED2F-589E-4021-90AA-A94845E0752B}
Possession,Adult,2014,2014/06/29 01:30:00+00,b'\xd7a\xbc\xc5\xf1\xc9%',23,6D,605,405300,134700,304,3D,B ,N ,M,Narcotics,Ucsa Possession Marijuana,ALABAMA AVE SE / G ST SE,405300,134700,MARIJUANA_ARRESTS_8042,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,20522,{70CE24A6-881D-4607-B85F-7BF69E949D87}
Possession,Juvenile,2014,2014/06/28 04:00:00+00,,,7D,703,,,605,6D,,,,Narcotics,Ucsa Possession Marijuana,,,,MARIJUANA_ARRESTS_8043,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,20523,{F7A7B017-F32C-48A4-B210-3B7B00B86FFA}
Possession,Adult,2014,2014/06/29 15:30:00+00,b'W\xbf\xad\x19\x8f\xa1o',21,2D,202,392800,142900,106,1D,B ,N ,M,Narcotics,Ucsa Possession Marijuana,4900 BLOCK OF 43RD ST NW,392800,142900,MARIJUANA_ARRESTS_8044,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,20524,{FB7012F3-1E7E-467B-B735-EFB026EEB968}
Possession,Adult,2014,2014/06/29 15:30:00+00,b'W\xbf\xad\x19\x8f\xa1o',24,2D,202,392800,142900,503,5D,B ,N ,F,Narcotics,Ucsa Possession Marijuana,4900 BLOCK OF 43RD ST NW,392800,142900,MARIJUANA_ARRESTS_8045,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,20525,{4ADD5AB6-D0D7-4CD1-AE6F-B15F673D88B1}
Possession,Adult,2014,2014/06/29 20:20:00+00,b'\x01\xb3dai\xb0)',28,7D,708,398900,128700,Out of State,Out of State,W ,N ,M,Narcotics,Ucsa Possession Marijuana,200 BLOCK OF ELMIRA ST SW,398900,128700,MARIJUANA_ARRESTS_8046,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,20526,{93AD70C6-3798-4080-AFC3-372786DF4326}
Possession with intent to distribute,Adult,2014,2014/06/29 20:46:00+00,b'\xd5\x13\xe5\x85\xf9:`',24,7D,707,399900,131100,507,5D,B ,N ,M,Narcotics,Ucsa Pwid Marijuana,400 BLOCK OF MELLON ST SE,399900,131100,MARIJUANA_ARRESTS_8047,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,20527,{286E5402-8678-4826-80C6-E267299BE0C1}
Possession,Adult,2014,2014/06/30 01:00:00+00,b'2c\xbd\xd6\x0c4r',23,2D,205,392300,141200,601,6D,B ,N ,M,Narcotics,Ucsa Possession Marijuana,4400 BLOCK OF MASSACHUSETTS AVE NW,392300,141200,MARIJUANA_ARRESTS_8048,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,20528,{699A841E-E5CE-40E3-8D7D-2E57C9B10C41}
Possession,Adult,2014,2014/06/30 01:35:00+00,b'\x99\xe3\x0b\x9b3\xab\x92',22,7D,703,400000,132700,602,6D,B ,N ,M,Narcotics,Ucsa Possession Marijuana,1100 BLOCK OF SUMNER RD SE,400100,132600,MARIJUANA_ARRESTS_8049,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,20529,{16F08B74-96DC-4F1B-90BA-2AD105BCCC44}
Possession,Adult,2014,2014/06/30 22:28:00+00,b'\xb5\xee\xcb\x89\xa0\xa5\x93',18,7D,704,402600,131100,Out of State,Out of State,B ,N ,M,Narcotics,Ucsa Possession Marijuana,2400 BLOCK OF SAVANNAH ST SE,402600,131100,MARIJUANA_ARRESTS_8050,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,20530,{880FFA77-A39F-4C65-A843-54B1A2C2A761}
Possession,Adult,2014,2014/06/30 23:35:00+00,b'\x17K\xea(\x9be\x81',27,6D,602,405000,136500,403,4D,B ,N ,M,Narcotics,Ucsa Possession Marijuana,MINNESOTA AVE AND BOURROUGHS AVE NE,405000,136500,MARIJUANA_ARRESTS_8051,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,20531,{84EAA234-7AFA-4342-87CE-B28568F69863}
Possession with intent to distribute,Adult,2014,2014/07/01 00:00:00+00,"b""\xdf_'\xa3J\xcc\xe4""",22,1D,105,398600,133900,603,6D,B ,N ,M,Narcotics,Ucsa Pwid Marijuana,300 BLOCK OF O ST SW,398600,133900,MARIJUANA_ARRESTS_8052,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,20532,{8B30B976-F14C-4996-82F0-2EF92C8C0628}
Possession,Adult,2014,2014/07/01 06:45:00+00,b'\xfc\xc7\xdd\xd3`\xd2-',24,5D,505,400700,138800,502,5D,W ,N ,M,Narcotics,Ucsa Possession Marijuana,900 BLOCK OF V ST NE,400500,138800,MARIJUANA_ARRESTS_8053,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,20533,{B5B369A7-56BE-4C78-8E33-AC8A5A7B1BED}
Possession,Adult,2014,2014/07/01 06:45:00+00,b'\xfc\xc7\xdd\xd3`\xd2-',31,5D,505,400700,138800,503,5D,W ,N ,M,Narcotics,Ucsa Possession Marijuana,900 BLOCK OF V ST NE,400500,138800,MARIJUANA_ARRESTS_8054,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,20534,{2C225C4D-25D8-4A04-AB17-CD51E26856D3}
Possession,Adult,2014,2014/07/01 18:30:00+00,b'\xd1\x9e*\xbfPse',39,4D,403,397300,140700,,,W ,H ,F,Narcotics,Ucsa Possession Marijuana,3500 BLOCK OF HOLMEAD PL NW,397300,140700,MARIJUANA_ARRESTS_8055,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,20535,{446F4C77-3162-415E-A27F-4B11CDBA9597}
Possession with intent to distribute,Adult,2014,2014/07/01 21:15:00+00,"b'\xfc,\t\x8a1s#'",22,6D,603,404500,136200,602,6D,B ,N ,M,Narcotics,Poss W/i To Dist Marijuana-misd,3900 BLOCK OF DIX ST NE,404500,136200,MARIJUANA_ARRESTS_8056,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,20536,{280A86E2-2793-4C29-AC26-955133A778C1}
Possession with intent to distribute,Adult,2014,2014/07/01 21:15:00+00,"b'\xfc,\t\x8a1s#'",24,6D,603,404500,136200,708,7D,B ,N ,M,Narcotics,Poss W/i To Dist Marijuana-misd,3900 BLOCK OF DIX ST NE,404500,136200,MARIJUANA_ARRESTS_8057,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,20537,{875C9EB3-F3DA-4E62-BD6B-A497E86911B2}
Possession with intent to distribute,Adult,2014,2014/07/01 21:30:00+00,b'\xac\xec\x01\x87\xb6\x93\xf5',22,5D,507,402000,136700,507,5D,B ,N ,M,Narcotics,Ucsa Pwid Marijuana,700 BLOCK OF 19TH ST NE,402000,136700,MARIJUANA_ARRESTS_8058,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,20538,{5FC9AB61-EACB-472C-ACA3-EB1FC733AF49}
Possession,Adult,2014,2014/07/01 22:00:00+00,b'\x01\x1c\x82\xdf\xbf\xe4\x0e',38,6D,604,405500,135600,,,B ,N ,F,Narcotics,Ucsa Possession Marijuana,4500 BLOCK OF B ST SE,405500,135600,MARIJUANA_ARRESTS_8059,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,20539,{E92101EB-8BC8-4EAC-A9CB-5485B8089A44}
Possession,Adult,2014,2014/07/01 22:50:00+00,"b'\x12\xa6\xb0H\x89;X'",50,7D,703,401000,132500,703,7D,B ,N ,M,Narcotics,Ucsa Possession Marijuana,2500 BLOCK OF HIGH ST SE,401000,132500,MARIJUANA_ARRESTS_8060,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,20540,{1B0D5DF6-6708-413D-BA1E-A550C1025528}
Possession with intent to distribute,Adult,2014,2014/07/01 23:08:00+00,b'\xdd\x18O\xcdw\x92\xd9',22,6D,604,406300,135600,501,5D,W ,U ,F,Narcotics,Ucsa Pwid Marijuana,4900 BLOCK OF CENTRAL AVE NE,405800,135800,MARIJUANA_ARRESTS_8061,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,20541,{5F1A750D-E52A-4C94-851C-1C9BE6F9A109}
Possession,Adult,2014,2014/07/01 23:09:00+00,b'\xd1Y\x85\x14%\xa3+',21,4D,409,397300,140600,602,6D,B ,N ,F,Narcotics,Ucsa Possession Marijuana,1300 BLOCK OF MERIDIAN PL NW,397300,140600,MARIJUANA_ARRESTS_8062,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,20542,{D2F4E7F1-4A4A-4C4B-B55F-08D1A2FF2370}
Possession,Adult,2014,2014/07/01 23:09:00+00,b'\xd1Y\x85\x14%\xa3+',21,4D,409,397300,140600,,,B ,N ,F,Narcotics,Ucsa Possession Marijuana,1300 BLOCK OF MERIDIAN PL NW,397300,140600,MARIJUANA_ARRESTS_8063,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,20543,{9177FA4D-A1EC-44B1-8DA3-A9648F1EDAE7}
Possession,Adult,2014,2014/07/01 23:31:00+00,b'\x8b$\x16D\xae\xed\xc0',25,7D,701,401500,132900,Out of State,Out of State,B ,U ,M,Narcotics,Ucsa Possession Marijuana,2100 BLOCK OF 16TH ST SE,401500,132900,MARIJUANA_ARRESTS_8064,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,20544,{F218DB07-EEB6-49D2-893F-D3818C4F8CFD}
Possession,Adult,2014,2014/07/02 00:21:00+00,b'\xa4\x96\xd5\xe2\xc7\xf1\xc0',44,7D,706,400100,129000,Out of State,Out of State,B ,N ,M,Narcotics,Ucsa Possession Marijuana,6TH ST SE / CHESAPEAKE ST SE,400100,129000,MARIJUANA_ARRESTS_8065,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,20545,{876F68C7-821A-4968-9DD9-6D4DF4D69447}
Possession,Adult,2014,2014/07/02 00:35:00+00,b'\x12c\x81fo\x8c\x1b',31,6D,604,406100,135200,,1D,B ,N ,M,Narcotics,Ucsa Possession Marijuana,5000 BLOCK OF CALL PL SE,406100,135200,MARIJUANA_ARRESTS_8066,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,20546,{74B4D503-E883-467B-B28C-53FAB7087DD6}
Possession,Adult,2014,2014/07/02 02:32:00+00,b'\xee\xffP~gC\xcf',54,4D,409,397100,140700,703,7D,B ,N ,M,Narcotics,Ucsa Possession Marijuana,3500 BLOCK OF 14TH ST NW,397100,140700,MARIJUANA_ARRESTS_8067,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,20547,{76FEBAAF-9014-4B52-A3BC-0C292C5EA1C9}
Possession,Adult,2014,2014/07/02 03:05:00+00,b'\x9e\xbf(\x05 \xd9g',19,7D,708,399800,128800,706,7D,B ,N ,M,Narcotics,Ucsa Possession Marijuana,300 BLOCK OF LIVINGSTON TER SE,399800,128800,MARIJUANA_ARRESTS_8068,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,20548,{66672BC2-A53E-46AB-AF02-54C77D8762A6}
Possession,Adult,2014,2014/07/02 14:00:00+00,b'\xe5zSI\x97\xe7@',19,3D,303,396700,139500,303,3D,U,N ,M,Narcotics,Ucsa Possession Marijuana,1600 BLOCK OF EUCLID ST NW,396700,139500,MARIJUANA_ARRESTS_8069,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,20549,{83F39BC7-02CF-4E5C-8003-F9157B85B4CF}
Possession,Adult,2014,2014/07/02 19:48:00+00,b'fla\xce\x8c\xb4\x1f',66,3D,304,397200,139600,403,4D,B ,N ,M,Narcotics,Ucsa Possession Marijuana,2700 BLOCK OF 14TH ST NW,397200,139600,MARIJUANA_ARRESTS_8070,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,20550,{A78E5F32-2D44-4FDD-AF77-06D47D8FB3C9}
Possession,Adult,2014,2014/07/02 20:55:00+00,b'\xb7\xe0\xb6\x0bB\xf4\x1b',22,4D,409,397900,140600,304,3D,B ,N ,F,Narcotics,Ucsa Possession Marijuana,3500 BLOCK OF GEORGIA AVE NW,397900,140600,MARIJUANA_ARRESTS_8071,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,20551,{F38524FC-1CDB-49F2-9B54-5016C9CDA91B}
Possession,Adult,2014,2014/07/02 20:55:00+00,b'\xb7\xe0\xb6\x0bB\xf4\x1b',23,4D,409,397900,140600,306,3D,B ,N ,F,Narcotics,Ucsa Possession Marijuana,3500 BLOCK OF GEORGIA AVE NW,397900,140600,MARIJUANA_ARRESTS_8072,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,20552,{714024F0-3763-4DD6-A280-C9430D275813}
Possession,Adult,2014,2014/07/02 21:01:00+00,b'G\xb2\x8c\xd5D\x11s',32,6D,604,406200,135000,604,6D,B ,N ,M,Narcotics,Ucsa Possession Marijuana,5100 BLOCK OF QUEENS STROLL PL SE,406200,135000,MARIJUANA_ARRESTS_8073,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,20553,{0C5B4B41-BE24-4EAE-8EF9-63C25A442858}
Possession,Adult,2014,2014/07/02 21:44:00+00,b'\xcf\xa4\xd4\x9b\x1dn\xff',41,7D,701,401400,132900,702,7D,B ,N ,M,Narcotics,Ucsa Possession Marijuana,1500 BLOCK OF W ST SE,401400,132900,MARIJUANA_ARRESTS_8074,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,20554,{DC5C7F15-DB11-4301-A840-D4F3704DC836}
Possession,Adult,2014,2014/07/03 01:42:00+00,b'\x8a\r\xd9\x0bJ#\xed',23,7D,701,401700,133300,701,7D,B ,U ,M,Narcotics,Ucsa Possession Marijuana,1700 BLOCK OF T ST SE,401700,133300,MARIJUANA_ARRESTS_8075,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,20555,{5838F2BC-E8A6-4D8A-9C77-EB7A181EABB7}
Possession,Adult,2014,2014/07/03 01:53:00+00,b'\xfd\x93 \xc0\x9e0\xc5',37,5D,507,402300,136700,602,6D,B ,N ,M,Narcotics,Ucsa Possession Marijuana,2200 BLOCK OF BENNING RD NE,402300,136700,MARIJUANA_ARRESTS_8076,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,20556,{B11792AE-B23B-47CD-8F71-3B28E9B36EC9}
Possession,Adult,2014,2014/07/03 07:20:00+00,b'\xf9cZ-*\xa3\xcd',23,3D,303,396400,138900,Out of State,Out of State,U,H ,M,Narcotics,Ucsa Possession Marijuana,2100 BLOCK OF 18TH ST NW,396400,138900,MARIJUANA_ARRESTS_8077,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,20557,{2FF0EEFA-FB5A-4339-A3A9-6D962089BA8F}
Possession,Adult,2014,2014/07/03 11:59:00+00,b'\xc2\xfa\xa3%&\x95u',41,6D,604,405600,135600,604,6D,B ,N ,F,Narcotics,Ucsa Possession Marijuana,100 BLOCK OF 46TH ST SE,405600,135600,MARIJUANA_ARRESTS_8078,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,20558,{EBB2B304-B267-4B41-A284-272C0CE42C50}
Possession,Adult,2014,2014/07/03 16:47:00+00,"b'6\xa0""\tH\x01\xae'",44,6D,605,402400,134100,601,6D,B ,U ,M,Narcotics,Ucsa Possession Marijuana,2300 BLOCK OF PENNSYLVANIA AVE SE,402400,134100,MARIJUANA_ARRESTS_8079,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,20559,{6185DA6A-7B17-49E4-9F77-BAB7853492C2}
Possession with intent to distribute,Adult,2014,2014/07/03 20:40:00+00,b'N\x94\xab\xd1b\xdd\x7f',51,3D,304,397200,139700,Out of State,Out of State,B ,N ,M,Narcotics,Ucsa Pwid Marijuana,1400 BLOCK OF GIRARD ST NW,397200,139700,MARIJUANA_ARRESTS_8080,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,20560,{3E6E137F-6E79-45BB-B8F7-836926E0F3E1}
Possession with intent to distribute,Adult,2014,2014/07/03 21:26:00+00,b's\xe6\xfdq[\xe9C',45,5D,507,401500,137000,506,5D,B ,U ,M,Narcotics,Ucsa Pwid Marijuana,1600 BLOCK OF LEVIS ST NW,401500,137000,MARIJUANA_ARRESTS_8081,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,20561,{50D5C342-539E-452B-99C0-9A1C4F4885E4}
